file_name,file_path,extension,raw_rows,columns,detected_prompt_column,detected_label_column,detected_source_column,assigned_source_detail,role,encoding,load_status,error_message
injection_dataset_v2_20000.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\injection_dataset_v2_20000.csv,.csv,20000,id|original_id|prompt|label|label_name|attack_type|origin_type|source_detail|length|length_bin|split|template_family|cue_quadrant|difficulty|review_flag|style_family|base_source_detail|provenance|is_counterfactual|pair_id|split_group_id|quality_flags_before_final_handling|quality_flags,prompt,label,source_detail,injection_dataset_v2_20000_attack_only,attack+normal_mixed,utf-8-sig,ok,
injection_guardrail.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\injection_guardrail.csv,.csv,138098,prompt|label|label_name|class_name|source|original_split|original_label|text_length,prompt,label,source,injection_guardrail,attack,utf-8-sig,ok,
injection_SPML_Chatbot_Prompt-injection.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\injection_SPML_Chatbot_Prompt-injection.csv,.csv,1000,merged_id|translation_candidate_id|id|prompt_original|prompt_en|label|label_name|source_detail|hf_dataset|hf_split|original_row_id|attack_type|risk_subtype|category|difficulty|group_id|is_korean_original|prompt_norm|prompt_text|strong_norm|char_count|length_bin|priority_score|prompt_ko|translation_status|translation_engine|source_char_count|merged_source_file,prompt_ko,label,source_detail,injection_SPML_Chatbot_Prompt-injection,attack,utf-8-sig,ok,
normal_carrotai_ko_instruction.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\normal_carrotai_ko_instruction.csv,.csv,4791,prompt|label|label_name|source|source_detail|origin_type|split_original|length,prompt,label,source_detail,normal_carrotai_ko_instruction,normal,utf-8-sig,ok,
normal_iknow_lab_ko_evol_writing.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\normal_iknow_lab_ko_evol_writing.csv,.csv,5887,prompt|label|label_name|source|source_detail|origin_type|split_original|length,prompt,label,source_detail,normal_iknow_lab_ko_evol_writing,normal,utf-8-sig,ok,
normal_koalpaca_realqa.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\normal_koalpaca_realqa.csv,.csv,18430,text|source|author_type|label,text,label,source,normal_koalpaca_realqa,normal,utf-8-sig,ok,
normal_koalpaca_v11.csv,c:\Users\chanh\OneDrive\바탕 화면\4차 결과물\dataset\normal_koalpaca_v11.csv,.csv,21150,text|source|author_type|label,text,label,source,normal_koalpaca_v11,normal,utf-8-sig,ok,
